NAME,MLST ST (Klebsiella pneumoniae (Pasteur)),MLST PROFILE (Klebsiella pneumoniae (Pasteur)),CGMLST,LINCODE,SUBLINEAGE,CLONAL GROUP,Inc Types,K Locus,Predicted capsule (K locus) type,O locus,Predicted O type,Virulence Score,AEROBACTIN (AbST),COLIBACTIN (CbST),SALMOCHELIN (SmST),YERSINIABACTIN (YbST),RmpADC,rmpA2
SAMN08513421,39,2_1_2_4_9_1_14,4239,0_0_107_0_6_0_0_0_1_0,39,39,IncFIB(pQil),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMN14419408,39,2_1_2_4_9_1_14,17920,0_0_107_0_3_0_0_1_0_0,39,39,IncFIA(pBK30683); IncFIB(K); IncFII; IncFII(K); IncL; IncR; repB(R1701),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMN11366422,39,2_1_2_4_9_1_14,32967,0_0_107_1_0_3_0_0_0_0,39,10192,Col(pHAD28); IncFIB(K)(pCAV1099-114); IncFII(K)--repB(R1701),KL149,unknown (KL149),OL2α.2,O2β,1,0,,0,ybt 4; plasmid (501),-,-
SAMN10390539,39,2_1_2_4_9_1_14,32970,0_0_107_1_0_0_11_0_1_0,39,10192,Col440I; IncFIB(K); IncFIB(pQil); IncFII(K),KL149,unknown (KL149),OL2α.2,"O1αβ,2β",1,0,,0,ybt 16; ICEKp12 (287-1LV),-,-
SAMN06112136,39,2_1_2_4_9_1_14,32897,0_0_107_0_1_9_7_0_0_0,39,39,IncFIB(K),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA3515077,39,2_1_2_4_9_1_14,2037,0_0_107_1_0_0_0_0_0_0,39,10192,IncFIB(K)--IncFII(K); IncX1,KL62,K62,OL2α.2,"O1αβ,2β",1,0,,0,ybt 15; ICEKp11 (378),-,-
SAMN10390555,39,2_1_2_4_9_1_14,33040,0_0_107_0_1_9_3_2_0_0,39,39,Col(pHAD28); Col440I; IncFII(K); IncR,KL23,K23,OL2α.2,"O1αβ,2β",1,0,,0,ybt 14; ICEKp5 (135),-,-
SAMN14478492,39,2_1_2_4_9_1_14,25197,0_0_107_0_9_1_0_0_0_0,39,39,IncFIB(K); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",1,0,,0,ybt 13; ICEKp2 (431-2LV),-,-
SAMN05960892,39,2_1_2_4_9_1_14,3849,0_0_107_0_8_0_0_0_0_0,39,39,IncFIA(HI1); IncFIB(K)(pCAV1099-114); IncFII(K); IncHI1B(pNDM-MAR),KL51,K51,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMN12145177,39,2_1_2_4_9_1_14,33192,0_0_107_0_4_0_14_0_0_0,39,39,IncFIB(K); IncFII(K),KL2,K2,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294),-,-
SAMN12731955,39,2_1_2_4_9_1_14,25466,0_0_107_0_1_12_0_0_0_0,39,39,IncFIB(K)(pCAV1099-114),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMN02927868,39,2_1_2_4_9_1_14,*4f2e,0_0_107_0_4_0_5_?_?_?,39,39,Col(pHAD28); IncFIB(K); IncFII(K),KL2,K2,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294),-,-
SAMEA5949557,39,2_1_2_4_9_1_14,20705,0_0_107_0_0_0_0_0_14_0,39,39,ColRNAI; IncC; IncFIB(K); IncFIB(pQil); IncFII(K); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",1,0,,0,ybt 14; ICEKp5 (151),-,-
SAMEA3727652,39,2_1_2_4_9_1_14,1493,0_0_107_1_1_0_0_0_0_0,39,10192,IncFIA(pBK30683); IncFIB(K); IncFII(K),KL149,unknown (KL149),OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMN04357465,39,2_1_2_4_9_1_14,25542,0_0_107_2_4_0_0_0_0_0,39,10195,Col(pHAD28); Col(pHAD28); IncFII(K); IncR,KL149,unknown (KL149),OL2α.2,"O1αβ,2β",1,0,,0,ybt 0; ICEKp2 (430-4LV),-,-
SAMN10390458,39,2_1_2_4_9_1_14,33383,0_0_107_1_0_0_11_0_0_0,39,10192,Col440I; IncFIB(K); IncFIB(pQil); IncFII(K),KL149,unknown (KL149),OL2α.2,"O1αβ,2β",1,0,,0,ybt 16; ICEKp12 (287-1LV),-,-
SAMN04357437,39,2_1_2_4_9_1_14,33556,0_0_107_0_4_0_1_7_0_0,39,39,Col440II; IncFIB(K); IncFII(K),KL2,K2,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294-1LV),-,-
SAMEA6654211,39,2_1_2_4_9_1_14,20766,0_0_107_0_15_0_0_0_0_0,39,39,Col(pHAD28); IncFIA(pBK30683); IncFIB(K); IncFII(K); repB(R1701),KL2,K2,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294-2LV),-,-
SAMEA5949558,39,2_1_2_4_9_1_14,6633,0_0_107_0_0_0_0_0_2_0,39,39,ColRNAI; IncC; IncFIB(pQil); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",1,0,,0,ybt 14; ICEKp5 (151),-,-
SAMN12343015,39,2_1_2_4_9_1_14,33586,0_0_107_0_0_0_0_6_1_0,39,39,ColRNAI; IncFIB(K); IncFIB(pQil); IncFII(K); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",1,0,,0,ybt 14; ICEKp5 (151),-,-
SAMN12342997,39,2_1_2_4_9_1_14,6633,0_0_107_0_0_0_0_0_2_0,39,39,ColRNAI; IncFIB(pQil); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",1,0,,0,ybt 14; ICEKp5 (151),-,-
SAMN10390543,39,2_1_2_4_9_1_14,33679,0_0_107_1_0_0_11_0_2_0,39,10192,Col440I; IncFIB(K); IncFIB(pQil); IncFII(K),KL149,unknown (KL149),OL2α.2,"O1αβ,2β",1,0,,0,ybt 16; ICEKp12 (287),-,-
SAMN14345045,39,2_1_2_4_9_1_14,25542,0_0_107_2_4_0_0_0_0_0,39,10195,Col(pHAD28); Col(pHAD28); IncFII(K); IncR,KL149,unknown (KL149),OL2α.2,"O1αβ,2β",1,0,,0,ybt 0; ICEKp2 (430-4LV),-,-
SAMN06438404,39,2_1_2_4_9_1_14,33852,0_0_107_0_1_9_5_0_0_0,39,39,Col440I; IncFIB(K),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA2273745,39,2_1_2_4_9_1_14,20914,0_0_107_0_1_2_0_0_1_0,39,39,Col440I; IncFIB(K); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMN12342860,39,2_1_2_4_9_1_14,6633,0_0_107_0_0_0_0_0_2_0,39,39,ColRNAI; IncFIB(K); IncFIB(pQil); IncFII(K); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",1,0,,0,ybt 14; ICEKp5 (151),-,-
SAMN10390530,39,2_1_2_4_9_1_14,34014,0_0_107_1_0_0_11_0_0_0,39,10192,Col440I; IncFIB(K); IncFIB(pQil); IncFII(K),KL149,unknown (KL149),OL2α.2,"O1αβ,2β",1,0,,0,ybt 16; ICEKp12 (287),-,-
SAMN04357466,39,2_1_2_4_9_1_14,25542,0_0_107_2_4_0_0_0_0_0,39,10195,Col(pHAD28); Col(pHAD28); IncFII(K); IncR,KL149,unknown (KL149),OL2α.2,"O1αβ,2β",1,0,,0,ybt 0; ICEKp2 (430-4LV),-,-
SAMN15010509,39,2_1_2_4_9_1_14,19925,0_0_107_0_14_0_0_0_0_0,39,39,Col(pHAD28); Col(pHAD28); ColRNAI; IncFIA(pBK30683); IncFIB(K)(pCAV1099-114); IncFIB(pQil); IncFII(K); IncHI1B(pNDM-MAR); IncR,KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMN03853236,39,2_1_2_4_9_1_14,34015,0_0_107_1_0_2_1_0_0_0,39,10192,IncFIB(K),KL149,unknown (KL149),OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA3649818,39,2_1_2_4_9_1_14,1611,0_0_107_0_7_0_0_0_0_0,39,39,IncFIB(K)(pCAV1099-114)--IncHI1B(pNDM-MAR),KL51,K51,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA6368055,39,2_1_2_4_9_1_14,19925,0_0_107_0_14_0_0_0_0_0,39,39,Col(pHAD28); Col(pHAD28); ColRNAI; IncFIA(pBK30683); IncFIB(K)(pCAV1099-114); IncFIB(pQil); IncFII(K); IncHI1B(pNDM-MAR); IncR,KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMN10390558,39,2_1_2_4_9_1_14,34012,0_0_107_0_1_13_0_0_0_0,39,39,IncFIB(K); IncFII(K); IncR,KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMN15010562,39,2_1_2_4_9_1_14,25630,0_0_107_0_0_0_0_8_0_0,39,39,ColRNAI; IncFIB(K); IncFIB(pQil); IncFII(K); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",1,0,,0,ybt 14; ICEKp5 (151),-,-
SAMEA3538423,39,2_1_2_4_9_1_14,2250,0_0_107_0_1_5_0_0_0_0,39,39,Col440I; IncFIB(K),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA3649898,39,2_1_2_4_9_1_14,2335,0_0_107_0_1_6_0_0_0_0,39,39,Col440I; IncFIB(K),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMEA5949559,39,2_1_2_4_9_1_14,21158,0_0_107_0_0_0_0_0_15_0,39,39,ColRNAI; IncC; IncFIB(K); IncFIB(pQil); IncFII(K); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",1,0,,0,ybt 14; ICEKp5 (151),-,-
SAMN15010497,39,2_1_2_4_9_1_14,19925,0_0_107_0_14_0_0_0_0_0,39,39,Col(pHAD28); Col(pHAD28); ColRNAI; IncFIA(pBK30683); IncFIB(K)(pCAV1099-114); IncFIB(pQil); IncFII(K); IncHI1B(pNDM-MAR); IncR,KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
SAMN14345068,39,2_1_2_4_9_1_14,25542,0_0_107_2_4_0_0_0_0_0,39,10195,Col(pHAD28); Col(pHAD28); IncFII(K); IncR,KL149,unknown (KL149),OL2α.2,"O1αβ,2β",1,0,,0,ybt 0; ICEKp2 (430-4LV),-,-
ERR5464374,39,2_1_2_4_9_1_14,*1e16,0_0_107_2_0_0_0_4_?_?,39,10195,Col(pHAD28); IncFIB(K),KL149,unknown (KL149),OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
ERR5464627,39,2_1_2_4_9_1_14,*9072,0_0_107_0_4_0_1_0_?_?,39,39,Col440II; ColRNAI; IncFIB(K); IncFII(K); IncX1,KL2,K2,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294),-,-
ERR5464739,39,2_1_2_4_9_1_14,33556,0_0_107_0_4_0_1_7_0_0,39,39,Col440II; IncFIB(K); IncFII(K),KL2,K2,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (294-1LV),-,-
ERR5464204,39,2_1_2_4_9_1_14,*ad09,0_0_107_0_1_9_1_?_?_?,39,39,IncFIB(K),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
ERR5464804,39,2_1_2_4_9_1_14,25542,0_0_107_2_4_0_0_0_0_0,39,10195,Col(pHAD28); Col(pHAD28); IncFII(K); IncR,KL149,unknown (KL149),OL2α.2,"O1αβ,2β",1,0,,0,ybt 0; ICEKp2 (430-4LV),-,-
ERR5465010,39,2_1_2_4_9_1_14,*adb3,0_0_107_1_?_?_?_?_?_?,39,10192,IncFIA(pBK30683); IncFIB(K); IncFII(pKP91); IncR,KL62,K62,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (277-1LV),-,-
SRR11281522,39,2_1_2_4_9_1_14,25542,0_0_107_2_4_0_0_0_0_0,39,10195,Col(pHAD28); Col(pHAD28); IncFII(K); IncR,KL149,unknown (KL149),OL2α.2,"O1αβ,2β",1,0,,0,ybt 0; ICEKp2 (430-4LV),-,-
ERR5464832,39,2_1_2_4_9_1_14,*3c56,0_0_107_1_0_0_4_?_?_?,39,10192,IncFIB(K); IncFII(K),KL62,K62,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
ERR5464287,39,2_1_2_4_9_1_14,*e022,0_0_107_2_4_0_0_0_?_?,39,10195,Col(pHAD28); IncFII(K); IncR,KL149,unknown (KL149),OL2α.2,"O1αβ,2β",1,0,,0,ybt 0; ICEKp2 (430-4LV),-,-
SRR11281545,39,2_1_2_4_9_1_14,*e022,0_0_107_2_4_0_0_0_?_?,39,10195,Col(pHAD28); IncFII(K); IncR,KL149,unknown (KL149),OL2α.2,"O1αβ,2β",1,0,,0,ybt 0; ICEKp2 (430-4LV),-,-
ERR5464488,39,2_1_2_4_9_1_14,*1a95,0_0_107_1_0_0_4_?_?_?,39,10192,IncFIB(K); IncFII(K),KL62,K62,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
880,39,2_1_2_4_9_1_14,*caa4,0_0_107_0_1_?_?_?_?_?,39,39,Col440I; IncFIB(K); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
126,39,2_1_2_4_9_1_14,*98e8,0_0_107_0_1_9_3_0_?_?,39,39,IncFIB(K),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
ERR6294258,39,2_1_2_4_9_1_14,13474,0_0_107_0_1_7_1_0_0_0,39,39,Col440II; IncFIB(K); IncX1,KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
ERR971977,39,2_1_2_4_9_1_14,37479,0_0_107_0_1_3_3_0_0_0,39,39,Col(pHAD28); Col440I; IncFIA(pBK30683); IncFIB(K); IncFII(K); IncFII(pBK30683); IncR; repB(R1701),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
ERR319581,39,2_1_2_4_9_1_14,*c617,0_0_107_2_1_?_?_?_?_?,39,10195,IncFIB(K); IncFII(K); IncR,KL149,unknown (KL149),OL2α.2,"O1αβ,2β",1,0,,0,ybt 10; ICEKp4 (351-2LV),-,-
ERR319585,39,2_1_2_4_9_1_14,*c617,0_0_107_2_1_?_?_?_?_?,39,10195,IncFIB(K); IncFII(K); IncR,KL149,unknown (KL149),OL2α.2,"O1αβ,2β",1,0,,0,ybt 10; ICEKp4 (351-2LV),-,-
ERR3449348,39,2_1_2_4_9_1_14,10965,0_0_107_1_0_2_0_0_0_0,39,10192,,KL149,unknown (KL149),OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
GCF_900086435.1_12082_5_16_genomic,39,2_1_2_4_9_1_14,3009,0_0_107_0_1_2_0_0_0_0,39,39,Col(pHAD28); IncFIB(K); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
ERR486792,39,2_1_2_4_9_1_14,3009,0_0_107_0_1_2_0_0_0_0,39,39,Col440I; IncFIB(K); IncFII(K),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
GCF_902508825.1_ZKP127_genomic,39,2_1_2_4_9_1_14,*235f,0_0_107_0_1_9_3_?_?_?,39,39,Col(pHAD28); IncFII(pKP91)--IncR; repB_KLEB,KL23,K23,OL2α.2,"O1αβ,2β",0,0,,iro 1 (1),0,rmp 1; KpVP-1,-
GCF_900776375.1_27097_7_162-2_genomic,39,2_1_2_4_9_1_14,*ecad,0_0_107_1_0_8_0_?_?_?,39,10192,ColRNAI; IncFIB(K); IncFII(K); IncHI1B(pNDM-MAR),KL149,unknown (KL149),OL2α.2,"O1αβ,2β",1,0,,0,ybt 14; ICEKp5 (151),-,-
GCF_900775705.1_27035_8_2-2_genomic,39,2_1_2_4_9_1_14,*ecad,0_0_107_1_0_8_0_?_?_?,39,10192,ColRNAI; IncFIB(K); IncFII(K),KL149,unknown (KL149),OL2α.2,"O1αβ,2β",1,0,,0,ybt 14; ICEKp5 (151),-,-
GCF_900775665.1_27035_8_10-2_genomic,39,2_1_2_4_9_1_14,*ecad,0_0_107_1_0_8_0_?_?_?,39,10192,ColRNAI; IncFIB(K); IncFII(K),KL149,unknown (KL149),OL2α.2,"O1αβ,2β",1,0,,0,ybt 14; ICEKp5 (151),-,-
GCF_900776245.1_27097_7_146-2_genomic,39,2_1_2_4_9_1_14,*ecad,0_0_107_1_0_8_0_?_?_?,39,10192,ColRNAI; IncFIB(K); IncFII(K),KL149,unknown (KL149),OL2α.2,"O1αβ,2β",1,0,,0,ybt 14; ICEKp5 (151),-,-
GCF_900775685.1_27035_8_1-2_genomic,39,2_1_2_4_9_1_14,*ecad,0_0_107_1_0_8_0_?_?_?,39,10192,ColRNAI; IncFIB(K); IncFII(K),KL149,unknown (KL149),OL2α.2,"O1αβ,2β",1,0,,0,ybt 14; ICEKp5 (151),-,-
GCF_900775985.1_27097_7_122-2_genomic,39,2_1_2_4_9_1_14,*ecad,0_0_107_1_0_8_0_?_?_?,39,10192,ColRNAI; IncFIB(K); IncFII(K),KL149,unknown (KL149),OL2α.2,"O1αβ,2β",1,0,,0,ybt 14; ICEKp5 (151),-,-
GCF_900776295.1_27097_7_154-2_genomic,39,2_1_2_4_9_1_14,*ecad,0_0_107_1_0_8_0_?_?_?,39,10192,ColRNAI; IncFIB(K); IncFII(K),KL149,unknown (KL149),OL2α.2,"O1αβ,2β",1,0,,0,ybt 14; ICEKp5 (151),-,-
SRR2098761_final,39,2_1_2_4_9_1_14,*893f,0_0_107_1_0_?_?_?_?_?,39,10192,IncFIB(K),KL149,unknown (KL149),OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
ERR3416126_NextSeq_500_paired_end_sequencing,39,2_1_2_4_9_1_14,13269,0_0_107_1_0_0_4_0_0_0,39,10192,IncFIB(K); IncFII(K),KL62,K62,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
ERR3416114_NextSeq_500_paired_end_sequencing,39,2_1_2_4_9_1_14,13260,0_0_107_1_0_0_4_1_0_0,39,10192,Col(IRGK); Col(MG828),KL62,K62,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
ERR3416146_NextSeq_500_paired_end_sequencing,39,2_1_2_4_9_1_14,*c3ec,0_0_107_0_1_3_1_0_?_?,39,39,IncFIA(pBK30683); repB(R1701),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
ERR3416407_NextSeq_500_paired_end_sequencing,39,2_1_2_4_9_1_14,13983,0_0_107_0_4_0_1_4_0_0,39,39,IncFIB(K); IncFII(K),KL2,K2,OL2α.1,"O1αβ,2α",1,0,,0,ybt 16; ICEKp12 (truncated) (294-1LV),-,-
SRR14449350,39,2_1_2_4_9_1_14,26490,0_0_107_0_6_0_1_0_0_0,39,39,IncFIB(pQil),KL23,K23,OL2α.2,"O1αβ,2β",0,0,,0,0,-,-
ERR4920505,39,2_1_2_4_9_1_14,17826,0_0_107_0_8_1_0_0_0_0,39,39,IncFIB(K)(pCAV1099-114),KL116,unknown (KL116),OL2α.1,"O1αβ,2α",0,0,,0,0,-,-
